taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7262031	Theropithecus gelada gelada	7262031	Theropithecus gelada gelada	3	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Theropithecus	2436552	Theropithecus gelada	2436553	VU
5707359	Cercopithecus ascanius schmidti Matschie, 1892	5707359	Cercopithecus ascanius schmidti Matschie, 1892	104	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus ascanius	5219569	LC
7261996	Varecia variegata variegata	7261996	Varecia variegata variegata	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lemuridae	5485	Varecia	2436423	Varecia variegata	2436424	CR
7342633	Cebuella pygmaea pygmaea	4827382	Cebuella pygmaea (Spix, 1823)	2	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Cebuella	8214404	Cebuella pygmaea	4827382	VU
2436631	Arctocebus aureus de Winton, 1902	2436631	Arctocebus aureus de Winton, 1902	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lorisidae	3239561	Arctocebus	2436630	Arctocebus aureus	2436631	LC
5786092	Alouatta palliata mexicana Merriam, 1902	5786092	Alouatta palliata mexicana Merriam, 1902	7	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta palliata	2436649	EN
8080199	Piliocolobus temminckii (Kuhl, 1820)	4266982	Piliocolobus badius temminckii (Kuhl, 1820)	44	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Piliocolobus	4266981	Piliocolobus badius	7262000	EN
7261988	Saguinus mystax mystax	7261988	Saguinus mystax mystax	4	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Saguinus	2436465	Saguinus mystax	2436472	LC
5707402	Hylobates albibarbis Lyon, 1911	5707402	Hylobates albibarbis Lyon, 1911	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hylobatidae	5484	Hylobates	2436497	Hylobates albibarbis	5707402	EN
11215067	Aotus nancymai Hershkovitz, 1983	11215067	Aotus nancymai Hershkovitz, 1983	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Aotidae	3239574	Aotus	2436667	Aotus nancymai	11215067	NE
4267329	Nycticebus bengalensis (Lacépède, 1800)	4267329	Nycticebus bengalensis (Lacépède, 1800)	32	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lorisidae	3239561	Nycticebus	2436627	Nycticebus bengalensis	4267329	EN
4266893	Saguinus niger (É.Geoffroy Saint-Hilaire, 1803)	4266893	Saguinus niger (É.Geoffroy Saint-Hilaire, 1803)	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Saguinus	2436465	Saguinus niger	4266893	VU
5786340	Semnopithecus johnii (J.Fischer, 1829)	5786340	Semnopithecus johnii (J.Fischer, 1829)	107	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Semnopithecus	2436563	Semnopithecus johnii	5786340	VU
2436480	Leontopithecus chrysopygus (Mikan, 1823)	2436480	Leontopithecus chrysopygus (Mikan, 1823)	24	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Leontopithecus	2436478	Leontopithecus chrysopygus	2436480	EN
4267152	Macaca sinica aurifrons Pocock, 1931	4267152	Macaca sinica aurifrons Pocock, 1931	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Macaca	2436602	Macaca sinica	2436613	EN
5786279	Cercopithecus mitis labiatus I.Geoffroy Saint-Hilaire, 1842	5786279	Cercopithecus mitis labiatus I.Geoffroy Saint-Hilaire, 1842	37	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus mitis	5219578	VU
9481435	Plecturocebus miltoni (Dalponte, Silva & Silva-Júnior, 2014)	9481435	Plecturocebus miltoni (Dalponte, Silva & Silva-Júnior, 2014)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Plecturocebus	8755067	Plecturocebus miltoni	9481435	DD
7611227	Perodicticus ibeanus Thomas, 1910	7611227	Perodicticus ibeanus Thomas, 1910	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lorisidae	3239561	Perodicticus	2436623	Perodicticus ibeanus	7611227	LC
9390794	Plecturocebus cinerascens (Spix, 1823)	9390794	Plecturocebus cinerascens (Spix, 1823)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Plecturocebus	8755067	Plecturocebus cinerascens	9390794	LC
2436495	Lepilemur microdon (Forsyth Major, 1894)	2436495	Lepilemur microdon (Forsyth Major, 1894)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lepilemuridae	4266927	Lepilemur	2436489	Lepilemur microdon	2436495	EN
4266977	Microcebus griseorufus Kollman, 1910	4266977	Microcebus griseorufus Kollman, 1910	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Microcebus	2436446	Microcebus griseorufus	4266977	LC
5219529	Propithecus diadema Bennett, 1832	5219529	Propithecus diadema Bennett, 1832	144	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Indriidae	4827490	Propithecus	2436427	Propithecus diadema	5219529	CR
5219562	Presbytis femoralis (Martin, 1838)	5219562	Presbytis femoralis (Martin, 1838)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Presbytis	3239596	Presbytis femoralis	5219562	CR
2436464	Callimico goeldii (Thomas, 1904)	2436464	Callimico goeldii (Thomas, 1904)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Callimico	2436463	Callimico goeldii	2436464	VU
2436632	Arctocebus calabarensis (J.A.Smith, 1860)	2436632	Arctocebus calabarensis (J.A.Smith, 1860)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lorisidae	3239561	Arctocebus	2436630	Arctocebus calabarensis	2436632	NT
4266929	Eulemur sanfordi (Archbold, 1932)	4266929	Eulemur sanfordi (Archbold, 1932)	20	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lemuridae	5485	Eulemur	2436417	Eulemur sanfordi	4266929	EN
5786024	Propithecus coronatus A.Milne-Edwards, 1871	5786024	Propithecus coronatus A.Milne-Edwards, 1871	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Indriidae	4827490	Propithecus	2436427	Propithecus coronatus	5786024	CR
