,rank,class_name,space_number,synonym,name,author,year,father
2032,genus,"Cephalopachus Swainson, 1835 ",18,0,Cephalopachus Swainson,, 1835 ,Tarsiidae Gray
2033,species,"Cephalopachus bancanus (Horsfield, 1821) ",20,0,Cephalopachus bancanus ,Horsfield,1821,Cephalopachus Swainson
2034,subspecies,"Cephalopachus bancanus bancanus (Horsfield, 1821) ",22,0,Cephalopachus bancanus bancanus ,Horsfield,1821,Cephalopachus bancanus 
2035,subspecies,"Tarsius bancanus bancanus Horsfield, 1821 ",24,1,Tarsius bancanus bancanus Horsfield,, 1821 ,Cephalopachus bancanus 
2036,species,"Tarsius bancanus Horsfield, 1821 ",24,1,Tarsius bancanus Horsfield,, 1821 ,Cephalopachus bancanus 
2037,subspecies,"Cephalopachus bancanus borneanus (Elliot, 1910) ",22,0,Cephalopachus bancanus borneanus ,Elliot,1910,Cephalopachus bancanus 
2038,subspecies,"Tarsius bancanus borneanus Elliot, 1910 ",24,1,Tarsius bancanus borneanus Elliot,, 1910 ,Cephalopachus bancanus 
2039,subspecies,"Cephalopachus bancanus natunensis (Chasen, 1940) ",22,0,Cephalopachus bancanus natunensis ,Chasen,1940,Cephalopachus bancanus 
2040,subspecies,"Tarsius tarsier natunensis Chasen, 1940 ",24,1,Tarsius tarsier natunensis Chasen,, 1940 ,Cephalopachus bancanus 
2041,subspecies,"Cephalopachus bancanus saltator (Elliot, 1910) ",22,0,Cephalopachus bancanus saltator ,Elliot,1910,Cephalopachus bancanus 
2042,subspecies,"Tarsius bancanus saltator Elliot, 1910 ",24,1,Tarsius bancanus saltator Elliot,, 1910 ,Cephalopachus bancanus 
2043,genus,"Tarsius Storr, 1780 ",18,0,Tarsius Storr,, 1780 ,Tarsiidae Gray
2044,genus,"Hypsicebus Lesson, 1840 ",20,1,Hypsicebus Lesson,, 1840 ,Tarsiidae Gray
2045,genus,"Macrotarsus Link, 1795 ",20,1,Macrotarsus Link,, 1795 ,Tarsiidae Gray
2046,genus,"Rabienus Gray, 1821 ",20,1,Rabienus Gray,, 1821 ,Tarsiidae Gray
2047,species,"Tarsius dentatus Miller & Hollister, 1921 ",20,0,Tarsius dentatus Miller & Hollister,, 1921 ,Tarsius Storr
2048,species,"Tarsius dianae Niemitz, Nietsch, Warter & Rumpler, 1991 ",22,1,Tarsius dianae Niemitz,, 1991 ,Tarsius Storr
2049,species,"Tarsius fuscus Fischer, 1804 ",20,0,Tarsius fuscus Fischer,, 1804 ,Tarsius Storr
2050,species,"Tarsius lariang Merker & Groves, 2006 ",20,0,Tarsius lariang Merker & Groves,, 2006 ,Tarsius Storr
2051,species,"Tarsius niemitzi Shekelle, Groves, Maryanto, Mittermeier, Salim & Springer, 2019 ",20,0,Tarsius niemitzi Shekelle,, 2019 ,Tarsius Storr
2052,species,"Tarsius pelengensis Sody, 1949 ",20,0,Tarsius pelengensis Sody,, 1949 ,Tarsius Storr
2053,species,"Tarsius pumilus Miller & Hollister, 1921 ",20,0,Tarsius pumilus Miller & Hollister,, 1921 ,Tarsius Storr
2054,species,"Tarsius sangirensis Meyer, 1897 ",20,0,Tarsius sangirensis Meyer,, 1897 ,Tarsius Storr
2055,species,"Tarsius spectrumgurskyae Shekelle, Groves, Maryanto & Mittermeier, 2017 ",20,0,Tarsius spectrumgurskyae Shekelle,, 2017 ,Tarsius Storr
2056,species,"Tarsius supriatnai Shekelle, Groves, Maryanto & Mittermeier, 2017 ",20,0,Tarsius supriatnai Shekelle,, 2017 ,Tarsius Storr
2057,species,"Tarsius tarsier (Erxleben, 1777) ",20,0,Tarsius tarsier ,Erxleben,1777,Tarsius Storr
2058,subspecies,"Tarsius fuscus fuscomanus Fischer, 1804 ",22,1,Tarsius fuscus fuscomanus Fischer,, 1804 ,Tarsius Storr
2059,species,"Tarsius spectrum (Pallas, 1778) ",22,1,Tarsius spectrum ,Pallas,1778,Tarsius Storr
2060,species,"Tarsius tumpara Shekelle, Groves, Merker & Supriatna, 2008 ",20,0,Tarsius tumpara Shekelle,, 2008 ,Tarsius Storr
2061,species,"Tarsius wallacei Merker, Driller, Dahruddin, Wirdateti, Sinaga, Perwitasari-Farajallah & Shekelle, 2010 ",20,0,Tarsius wallacei Merker,, 2010 ,Tarsius Storr
2062,suborder,"Strepsirrhini É. Geoffroy Saint-Hilaire, 1812 ",12,0,Strepsirrhini É. Geoffroy Saint-Hilaire,, 1812 ,Primates Linnaeus
2063,infraorder,"Chiromyiformes Anthony & Coupin, 1931 ",16,0,Chiromyiformes Anthony & Coupin,, 1931 ,Strepsirrhini É. Geoffroy Saint-Hilaire
2064,family,"Daubentoniidae Gray, 1863 ",18,0,Daubentoniidae Gray,, 1863 ,Chiromyiformes Anthony & Coupin
2065,family,"Cheiromyidae I. Geoffroy Saint-Hilaire, 1851 ",20,1,Cheiromyidae I. Geoffroy Saint-Hilaire,, 1851 ,Chiromyiformes Anthony & Coupin
2066,family,"Chiromyidae Bonaparte, 1850 ",20,1,Chiromyidae Bonaparte,, 1850 ,Chiromyiformes Anthony & Coupin
2067,genus,"Daubentonia É. Geoffroy Saint-Hilaire, 1795 ",20,0,Daubentonia É. Geoffroy Saint-Hilaire,, 1795 ,Daubentoniidae Gray
2068,genus,"Aye-aye Lacépède, 1799 ",22,1,Aye-aye Lacépède,, 1799 ,Daubentoniidae Gray
2069,genus,"Cheyromys É. Geoffroy Saint-Hilaire, 1803 ",22,1,Cheyromys É. Geoffroy Saint-Hilaire,, 1803 ,Daubentoniidae Gray
2070,genus,"Chiromys Illiger, 1811 ",22,1,Chiromys Illiger,, 1811 ,Daubentoniidae Gray
2071,genus,"Myspithecus de Blainville, 1839 ",22,1,Myspithecus de Blainville,, 1839 ,Daubentoniidae Gray
2072,genus,"Psilodactylus Oken, 1816 ",22,1,Psilodactylus Oken,, 1816 ,Daubentoniidae Gray
2073,genus,"Scolecophagus É. Geoffroy Saint-Hilaire, 1795 ",22,1,Scolecophagus É. Geoffroy Saint-Hilaire,, 1795 ,Daubentoniidae Gray
2074,species,"Daubentonia madagascariensis (Gmelin, 1788) ",22,0,Daubentonia madagascariensis ,Gmelin,1788,Daubentonia É. Geoffroy Saint-Hilaire
2075,subspecies,"Cheiromys madagascariensis laniger G. Grandidier, 1930 ",24,1,Cheiromys madagascariensis laniger G. Grandidier,, 1930 ,Daubentonia É. Geoffroy Saint-Hilaire
2076,species,"Lemur psilodactylus Schreber, 1800 ",24,1,Lemur psilodactylus Schreber,, 1800 ,Daubentonia É. Geoffroy Saint-Hilaire
2077,infraorder,"Lemuriformes Gray, 1821 ",16,0,Lemuriformes Gray,, 1821 ,Tarsiiformes Gregory
2078,superfamily,"Cheirogaleoidea Gray, 1873 ",18,0,Cheirogaleoidea Gray,, 1873 ,Lemuriformes Gray
2079,family,"Cheirogaleidae Gray, 1873 ",20,0,Cheirogaleidae Gray,, 1873 ,Cheirogaleoidea Gray
2080,subfamily,"Cheirogaleinae Gray, 1873 ",22,1,Cheirogaleinae Gray,, 1873 ,Cheirogaleoidea Gray
2081,subfamily,"Phanerinae Rumpler, 1974 ",22,1,Phanerinae Rumpler,, 1974 ,Cheirogaleoidea Gray
2082,genus,"Allocebus Petter-Rousseaux & Petter, 1967 ",22,0,Allocebus Petter-Rousseaux & Petter,, 1967 ,Cheirogaleidae Gray
2083,species,"Allocebus trichotis (Günther, 1875) ",24,0,Allocebus trichotis ,Günther,1875,Allocebus Petter-Rousseaux & Petter
2084,genus,"Cheirogaleus É. Geoffroy Saint-Hilaire, 1812 ",22,0,Cheirogaleus É. Geoffroy Saint-Hilaire,, 1812 ,Cheirogaleidae Gray
2085,genus,"Altililemur Elliot, 1913 ",24,1,Altililemur Elliot,, 1913 ,Cheirogaleidae Gray
2086,genus,"Cebugale Lesson, 1840 ",24,1,Cebugale Lesson,, 1840 ,Cheirogaleidae Gray
2087,genus,"Mioxocebus Lesson, 1840 ",24,1,Mioxocebus Lesson,, 1840 ,Cheirogaleidae Gray
2088,genus,"Myspithecus F. Cuvier, 1842 ",24,1,Myspithecus F. Cuvier,, 1842 ,Cheirogaleidae Gray
2089,genus,"Opolemur Gray, 1873 ",24,1,Opolemur Gray,, 1873 ,Cheirogaleidae Gray
2090,species,"Cheirogaleus andysabini Lei et al., 2015 ",24,0,Cheirogaleus andysabini Lei et al.,, 2015 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2091,species,"Cheirogaleus crossleyi A. Grandidier, 1870 ",24,0,Cheirogaleus crossleyi A. Grandidier,, 1870 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2092,species,"Chirogale melanotis Forsyth Major, 1894 ",26,1,Chirogale melanotis Forsyth Major,, 1894 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2093,species,"Cheirogaleus grovesi McLain, Lei, Frasier, Taylor, Bailey, Roberts, Nash, Randriamanana, Mittermeier & Louis Jr., 2017 ",24,0,Cheirogaleus grovesi McLain,, 2017 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2094,species,"Cheirogaleus lavasoensis Thiele, Razafimahatratra & Hapke, 2013 ",24,0,Cheirogaleus lavasoensis Thiele,, 2013 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2095,species,"Cheirogaleus major É. Geoffroy Saint-Hilaire, 1812 ",24,0,Cheirogaleus major É. Geoffroy Saint-Hilaire,, 1812 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2096,species,"Cheirogaleus milii É. Geoffroy Saint-Hilaire, 1828 ",26,1,Cheirogaleus milii É. Geoffroy Saint-Hilaire,, 1828 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2097,species,"Cheirogaleus typicus A. Smith, 1833 ",26,1,Cheirogaleus typicus A. Smith,, 1833 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2098,species,"Lemur commersonii Wolf, 1822 ",26,1,Lemur commersonii Wolf,, 1822 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2099,species,"Mioxicebus griseus Lesson, 1840 ",26,1,Mioxicebus griseus Lesson,, 1840 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2100,species,"Myspithecus typus F. Cuvier, 1842 ",26,1,Myspithecus typus F. Cuvier,, 1842 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2101,species,"Cheirogaleus medius É. Geoffroy Saint-Hilaire, 1812 ",24,0,Cheirogaleus medius É. Geoffroy Saint-Hilaire,, 1812 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2102,species,"Cheirogaleus adipicaudatus Grandidier, 1868 ",26,1,Cheirogaleus adipicaudatus Grandidier,, 1868 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2103,species,"Cheirogaleus minor É. Geoffroy Saint-Hilaire, 1812 ",26,1,Cheirogaleus minor É. Geoffroy Saint-Hilaire,, 1812 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2104,species,"Cheirogaleus samati Grandidier, 1867 ",26,1,Cheirogaleus samati Grandidier,, 1867 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2105,species,"Cheirogaleus minusculus Groves, 2000 ",24,0,Cheirogaleus minusculus Groves,, 2000 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2106,species,"Cheirogaleus ravus Groves, 2000 ",26,1,Cheirogaleus ravus Groves,, 2000 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2107,species,"Cheirogaleus shethi Frasier, Lei, McLain, Taylor, Bailey et al., 2016 ",24,0,Cheirogaleus shethi Frasier,, 2016 ,Cheirogaleus É. Geoffroy Saint-Hilaire
2108,species,"Cheirogaleus sibreei (Forsyth Major, 1896) ",24,0,Cheirogaleus sibreei ,Forsyth Major,1896,Cheirogaleus É. Geoffroy Saint-Hilaire
2109,species,"Cheirogaleus thomasi (Forsyth Major, 1894) ",24,0,Cheirogaleus thomasi ,Forsyth Major,1894,Cheirogaleus É. Geoffroy Saint-Hilaire
