,rank,class_name,space_number,synonym,name,author,year,father
0,kingdom,Animalia ,0,0,Animalia ,,Animalia ,
1,phylum,Chordata ,2,0,Chordata ,,Chordata ,Animalia 
2,class,"Mammalia Linnaeus, 1758 ",4,0,Mammalia Linnaeus,, 1758 ,Chordata 
3,subclass,"Theria Parker & Haswell, 1897 ",6,0,Theria Parker & Haswell,, 1897 ,Mammalia Linnaeus
4,infraclass,"Eutheria Gill, 1872 ",8,0,Eutheria Gill,, 1872 ,Theria Parker & Haswell
5,order,"Primates Linnaeus, 1758 ",10,0,Primates Linnaeus,, 1758 ,Eutheria Gill
6,suborder,"Haplorrhini Pocock, 1918 ",12,0,Haplorrhini Pocock,, 1918 ,Primates Linnaeus
7,infraorder,"Simiiformes Haeckel, 1866 ",14,0,Simiiformes Haeckel,, 1866 ,Haplorrhini Pocock
8,family,"Aotidae Elliot, 1913 ",16,0,Aotidae Elliot,, 1913 ,Simiiformes Haeckel
9,subfamily,"Aotinae Poche, 1908 ",18,1,Aotinae Poche,, 1908 ,Simiiformes Haeckel
10,genus,"Aotus Illiger, 1811 ",18,0,Aotus Illiger,, 1811 ,Aotidae Elliot
11,genus,"Nocthora F. Cuvier, 1824 ",20,1,Nocthora F. Cuvier,, 1824 ,Aotidae Elliot
12,genus,"Nyctipithecus Spix, 1823 ",20,1,Nyctipithecus Spix,, 1823 ,Aotidae Elliot
13,species,"Aotus azarae (Humboldt, 1812) ",20,0,Aotus azarae ,Humboldt,1812,Aotus Illiger
14,species,"Aotus azarai (Humboldt, 1812) ",22,1,Aotus azarai ,Humboldt,1812,Aotus Illiger
15,species,"Simia azarae Humboldt, 1812 ",22,1,Simia azarae Humboldt,, 1812 ,Aotus Illiger
16,subspecies,"Aotus azarae azarae (Humboldt, 1812) ",22,0,Aotus azarae azarae ,Humboldt,1812,Aotus azarae 
17,species,"Pithecia miriquouina É. Geoffroy Saint-Hilaire, 1812 ",24,1,Pithecia miriquouina É. Geoffroy Saint-Hilaire,, 1812 ,Aotus azarae 
18,subspecies,"Aotus azarae boliviensis Elliot, 1907 ",22,0,Aotus azarae boliviensis Elliot,, 1907 ,Aotus azarae 
19,species,"Aotus bidentatus Lönnberg, 1941 ",24,1,Aotus bidentatus Lönnberg,, 1941 ,Aotus azarae 
20,subspecies,"Aotus azarae infulatus (Kuhl, 1820) ",22,0,Aotus azarae infulatus ,Kuhl,1820,Aotus azarae 
21,species,"Aotus infulatus (Kuhl, 1820) ",24,1,Aotus infulatus ,Kuhl,1820,Aotus azarae 
22,species,"Aotus roberti Dollman, 1909 ",24,1,Aotus roberti Dollman,, 1909 ,Aotus azarae 
23,species,"Aotus brumbacki Hershkovitz, 1983 ",20,0,Aotus brumbacki Hershkovitz,, 1983 ,Aotus Illiger
24,subspecies,"Aotus lemurinus brumbacki Hershkovitz, 1983 ",22,1,Aotus lemurinus brumbacki Hershkovitz,, 1983 ,Aotus Illiger
25,species,"Aotus griseimembra Elliot, 1912 ",20,0,Aotus griseimembra Elliot,, 1912 ,Aotus Illiger
26,species,"Aotus bipunstatus Bole, 1937 ",22,1,Aotus bipunstatus Bole,, 1937 ,Aotus Illiger
27,subspecies,"Aotus lemurinus griseimembra Elliot, 1912 ",22,1,Aotus lemurinus griseimembra Elliot,, 1912 ,Aotus Illiger
28,species,"Aotus jorgehernandezi Defler & Bueno, 2007 ",20,0,Aotus jorgehernandezi Defler & Bueno,, 2007 ,Aotus Illiger
29,species,"Aotus lemurinus I. Geoffroy Saint-Hilaire, 1843 ",20,0,Aotus lemurinus I. Geoffroy Saint-Hilaire,, 1843 ,Aotus Illiger
30,species,"Aotus aversus Elliot, 1913 ",22,1,Aotus aversus Elliot,, 1913 ,Aotus Illiger
31,species,"Aotus hershkovitzi Ramirez-Cerquera, 1983 ",22,1,Aotus hershkovitzi Ramirez-Cerquera,, 1983 ,Aotus Illiger
32,species,"Aotus lanius Dollman, 1909 ",22,1,Aotus lanius Dollman,, 1909 ,Aotus Illiger
33,species,"Aotus pervigilis Elliot, 1913 ",22,1,Aotus pervigilis Elliot,, 1913 ,Aotus Illiger
34,species,"Nyctipithecus hirsutus Gray, 1870 ",22,1,Nyctipithecus hirsutus Gray,, 1870 ,Aotus Illiger
35,species,"Nyctipithecus villosus Gray, 1847 ",22,1,Nyctipithecus villosus Gray,, 1847 ,Aotus Illiger
36,species,"Aotus miconax Thomas, 1927 ",20,0,Aotus miconax Thomas,, 1927 ,Aotus Illiger
37,species,"Aotus nancymai Hershkovitz, 1983 ",20,0,Aotus nancymai Hershkovitz,, 1983 ,Aotus Illiger
38,species,"Aotus nancymaae Hershkovitz, 1983 ",22,1,Aotus nancymaae Hershkovitz,, 1983 ,Aotus Illiger
39,species,"Aotus nigriceps Dollman, 1909 ",20,0,Aotus nigriceps Dollman,, 1909 ,Aotus Illiger
40,species,"Aotus senex Dollman, 1909 ",22,1,Aotus senex Dollman,, 1909 ,Aotus Illiger
41,species,"Aotus trivirgatus (Humboldt, 1811) ",20,0,Aotus trivirgatus ,Humboldt,1811,Aotus Illiger
42,species,"Cheirogaleus commersonii Wolf, 1822 ",22,1,Cheirogaleus commersonii Wolf,, 1822 ,Aotus Illiger
43,species,"Nyctipithecus duruculi Lesson, 1840 ",22,1,Nyctipithecus duruculi Lesson,, 1840 ,Aotus Illiger
44,species,"Nyctipithecus felinus Spix, 1823 ",22,1,Nyctipithecus felinus Spix,, 1823 ,Aotus Illiger
45,species,"Aotus vociferans (Spix, 1823) ",20,0,Aotus vociferans ,Spix,1823,Aotus Illiger
46,species,"Aotus gularis Dollman, 1909 ",22,1,Aotus gularis Dollman,, 1909 ,Aotus Illiger
47,species,"Aotus microdon Dollman, 1909 ",22,1,Aotus microdon Dollman,, 1909 ,Aotus Illiger
48,species,"Nyctipithecus oseryi I. Geoffroy Saint-Hilaire & Deville, 1848 ",22,1,Nyctipithecus oseryi I. Geoffroy Saint-Hilaire & Deville,, 1848 ,Aotus Illiger
49,species,"Nyctipithecus rufipes Sclater, 1872 ",22,1,Nyctipithecus rufipes Sclater,, 1872 ,Aotus Illiger
50,species,"Nyctipithecus spixi Pucheran, 1857 ",22,1,Nyctipithecus spixi Pucheran,, 1857 ,Aotus Illiger
51,species,"Nyctipithecus vociferans Spix, 1823 ",22,1,Nyctipithecus vociferans Spix,, 1823 ,Aotus Illiger
52,species,"Aotus zonalis Goldman, 1914 ",20,0,Aotus zonalis Goldman,, 1914 ,Aotus Illiger
53,subspecies,"Aotus lemurinus zonalis Goldman, 1914 ",22,1,Aotus lemurinus zonalis Goldman,, 1914 ,Aotus Illiger
54,family,"Atelidae Gray, 1825 ",16,0,Atelidae Gray,, 1825 ,Simiiformes Haeckel
55,subfamily,"Alouattinae Trouessart, 1897 ",18,0,Alouattinae Trouessart,, 1897 ,Atelidae Gray
56,subfamily,"Mycetinae Gray, 1825 ",20,1,Mycetinae Gray,, 1825 ,Atelidae Gray
57,genus,"Alouatta Lacépède, 1799 ",20,0,Alouatta Lacépède,, 1799 ,Alouattinae Trouessart
58,genus,"Mycetes Illiger, 1811 ",22,1,Mycetes Illiger,, 1811 ,Alouattinae Trouessart
59,genus,"Stentor É. Geoffroy Saint-Hilaire, 1812 ",22,1,Stentor É. Geoffroy Saint-Hilaire,, 1812 ,Alouattinae Trouessart
60,species,"Alouatta arctoidea Cabrera, 1940 ",22,0,Alouatta arctoidea Cabrera,, 1940 ,Alouatta Lacépède
61,subspecies,"Alouatta seniculus arctoidea Cabrera, 1940 ",24,1,Alouatta seniculus arctoidea Cabrera,, 1940 ,Alouatta Lacépède
62,species,"Simia ursinus Humboldt, 1815 ",24,1,Simia ursinus Humboldt,, 1815 ,Alouatta Lacépède
63,species,"Alouatta belzebul (Linnaeus, 1766) ",22,0,Alouatta belzebul ,Linnaeus,1766,Alouatta Lacépède
64,subspecies,"Alouatta belzebul tapojozensis Lönnberg, 1941 ",24,1,Alouatta belzebul tapojozensis Lönnberg,, 1941 ,Alouatta Lacépède
65,subspecies,"Mycetes belzebul mexianae Hagmann, 1908 ",24,1,Mycetes belzebul mexianae Hagmann,, 1908 ,Alouatta Lacépède
66,species,"Mycetes flavimanus Bates, 1863 ",24,1,Mycetes flavimanus Bates,, 1863 ,Alouatta Lacépède
67,species,"Mycetes rufimanus Kuhl, 1820 ",24,1,Mycetes rufimanus Kuhl,, 1820 ,Alouatta Lacépède
68,species,"Simia beelzebub Bechstein, 1800 ",24,1,Simia beelzebub Bechstein,, 1800 ,Alouatta Lacépède
69,species,"Alouatta caraya (Humboldt, 1812) ",22,0,Alouatta caraya ,Humboldt,1812,Alouatta Lacépède
70,species,"Mycetes barbatus Spix, 1823 ",24,1,Mycetes barbatus Spix,, 1823 ,Alouatta Lacépède
71,species,"Simia caraya Humboldt, 1812 ",24,1,Simia caraya Humboldt,, 1812 ,Alouatta Lacépède
72,species,"Simia straminea Humboldt, 1812 ",24,1,Simia straminea Humboldt,, 1812 ,Alouatta Lacépède
73,species,"Stentor niger É. Geoffroy Saint-Hilaire, 1812 ",24,1,Stentor niger É. Geoffroy Saint-Hilaire,, 1812 ,Alouatta Lacépède
74,species,"Alouatta discolor (Spix, 1823) ",22,0,Alouatta discolor ,Spix,1823,Alouatta Lacépède
75,species,"Mycetes discolor Spix, 1823 ",24,1,Mycetes discolor Spix,, 1823 ,Alouatta Lacépède
76,species,"Alouatta guariba (Humboldt, 1812) ",22,0,Alouatta guariba ,Humboldt,1812,Alouatta Lacépède
77,species,"Simia guariba Humboldt, 1812 ",24,1,Simia guariba Humboldt,, 1812 ,Alouatta Lacépède
78,subspecies,"Alouatta guariba clamitans Cabrera, 1940 ",24,0,Alouatta guariba clamitans Cabrera,, 1940 ,Alouatta guariba 
79,subspecies,"Alouatta fusca iheringi Lönnberg, 1941 ",26,1,Alouatta fusca iheringi Lönnberg,, 1941 ,Alouatta guariba 
80,subspecies,"Alouatta guariba guariba (Humboldt, 1812) ",24,0,Alouatta guariba guariba ,Humboldt,1812,Alouatta guariba 
81,species,"Alouatta beniensis Lönnberg, 1941 ",26,1,Alouatta beniensis Lönnberg,, 1941 ,Alouatta guariba 
82,species,"Alouatta fusca (É. Geoffroy Saint-Hilaire, 1812) ",26,1,Alouatta fusca ,É. Geoffroy Saint-Hilaire,1812,Alouatta guariba 
83,species,"Mycetes bicolor Gray, 1845 ",26,1,Mycetes bicolor Gray,, 1845 ,Alouatta guariba 
84,species,"Stentor fusca É. Geoffroy Saint-Hilaire, 1812 ",26,1,Stentor fusca É. Geoffroy Saint-Hilaire,, 1812 ,Alouatta guariba 
85,species,"Alouatta macconnelli Elliot, 1910 ",22,0,Alouatta macconnelli Elliot,, 1910 ,Alouatta Lacépède
86,species,"Alouatta nigerrima Lönnberg, 1941 ",22,0,Alouatta nigerrima Lönnberg,, 1941 ,Alouatta Lacépède
87,species,"Alouatta palliata (Gray, 1849) ",22,0,Alouatta palliata ,Gray,1849,Alouatta Lacépède
88,species,"Alouatta aequatorialis Festa, 1903 ",24,1,Alouatta aequatorialis Festa,, 1903 ,Alouatta Lacépède
89,species,"Alouatta inclamax Thomas, 1913 ",24,1,Alouatta inclamax Thomas,, 1913 ,Alouatta Lacépède
90,subspecies,"Alouatta palliata inconsonans Goldman, 1913 ",24,1,Alouatta palliata inconsonans Goldman,, 1913 ,Alouatta Lacépède
91,subspecies,"Alouatta palliata matagalpae J. A. Allen, 1908 ",24,1,Alouatta palliata matagalpae J. A. Allen,, 1908 ,Alouatta Lacépède
92,subspecies,"Alouatta palliata quichua Thomas, 1913 ",24,1,Alouatta palliata quichua Thomas,, 1913 ,Alouatta Lacépède
93,species,"Mycetes niger Thomas, 1880 ",24,1,Mycetes niger Thomas,, 1880 ,Alouatta Lacépède
94,subspecies,"Alouatta palliata aequatorialis (Festa, 1903) ",24,0,Alouatta palliata aequatorialis ,Festa,1903,Alouatta palliata 
95,subspecies,"Alouatta palliata coibensis Thomas, 1902 ",24,0,Alouatta palliata coibensis Thomas,, 1902 ,Alouatta palliata 
96,subspecies,"Alouatta coibensis coibensis Thomas, 1902 ",26,1,Alouatta coibensis coibensis Thomas,, 1902 ,Alouatta palliata 
97,species,"Alouatta coibensis Thomas, 1902 ",26,1,Alouatta coibensis Thomas,, 1902 ,Alouatta palliata 
98,subspecies,"Alouatta palliata mexicana Merriam, 1902 ",24,0,Alouatta palliata mexicana Merriam,, 1902 ,Alouatta palliata 
99,subspecies,"Alouatta palliata palliata (Gray, 1849) ",24,0,Alouatta palliata palliata ,Gray,1849,Alouatta palliata 
100,subspecies,"Alouatta palliata trabeata Lawrence, 1933 ",24,0,Alouatta palliata trabeata Lawrence,, 1933 ,Alouatta palliata 
101,subspecies,"Alouatta coibensis trabeata Lawrence, 1933 ",26,1,Alouatta coibensis trabeata Lawrence,, 1933 ,Alouatta palliata 
102,species,"Alouatta pigra Lawrence, 1933 ",22,0,Alouatta pigra Lawrence,, 1933 ,Alouatta Lacépède
103,subspecies,"Alouatta palliata luctuosa Lawrence, 1933 ",24,1,Alouatta palliata luctuosa Lawrence,, 1933 ,Alouatta Lacépède
104,species,"Mycetes villosus Gray, 1845 ",24,1,Mycetes villosus Gray,, 1845 ,Alouatta Lacépède
105,species,"Alouatta sara Elliot, 1910 ",22,0,Alouatta sara Elliot,, 1910 ,Alouatta Lacépède
106,species,"Alouatta seniculus (Linnaeus, 1766) ",22,0,Alouatta seniculus ,Linnaeus,1766,Alouatta Lacépède
107,subspecies,"Alouatta seniculus insulanus Elliot, 1910 ",24,0,Alouatta seniculus insulanus Elliot,, 1910 ,Alouatta seniculus 
108,species,"Alouatta insulanus Elliot, 1910 ",26,1,Alouatta insulanus Elliot,, 1910 ,Alouatta seniculus 
109,subspecies,"Alouatta seniculus juara Elliot, 1910 ",24,0,Alouatta seniculus juara Elliot,, 1910 ,Alouatta seniculus 
110,species,"Alouatta juara Elliot, 1910 ",26,1,Alouatta juara Elliot,, 1910 ,Alouatta seniculus 
111,subspecies,"Alouatta seniculus amazonica Lönnberg, 1941 ",26,1,Alouatta seniculus amazonica Lönnberg,, 1941 ,Alouatta seniculus 
112,subspecies,"Alouatta seniculus juruana Lönnberg, 1941 ",26,1,Alouatta seniculus juruana Lönnberg,, 1941 ,Alouatta seniculus 
113,subspecies,"Alouatta seniculus puruensis Lönnberg, 1941 ",24,0,Alouatta seniculus puruensis Lönnberg,, 1941 ,Alouatta seniculus 
114,subspecies,"Alouatta seniculus seniculus (Linnaeus, 1766) ",24,0,Alouatta seniculus seniculus ,Linnaeus,1766,Alouatta seniculus 
115,subspecies,"Alouatta seniculus bogotensis J. A. Allen, 1914 ",26,1,Alouatta seniculus bogotensis J. A. Allen,, 1914 ,Alouatta seniculus 
116,subspecies,"Alouatta seniculus caquetensis J. A. Allen, 1914 ",26,1,Alouatta seniculus caquetensis J. A. Allen,, 1914 ,Alouatta seniculus 
117,subspecies,"Alouatta seniculus caucensis J. A. Allen, 1904 ",26,1,Alouatta seniculus caucensis J. A. Allen,, 1904 ,Alouatta seniculus 
118,subspecies,"Alouatta seniculus rubicunda J. A. Allen, 1904 ",26,1,Alouatta seniculus rubicunda J. A. Allen,, 1904 ,Alouatta seniculus 
119,species,"Mycetes auratus Gray, 1845 ",26,1,Mycetes auratus Gray,, 1845 ,Alouatta seniculus 
120,species,"Mycetes laniger Gray, 1845 ",26,1,Mycetes laniger Gray,, 1845 ,Alouatta seniculus 
121,species,"Stentor chrysurus I. Geoffroy Saint-Hilaire, 1829 ",26,1,Stentor chrysurus I. Geoffroy Saint-Hilaire,, 1829 ,Alouatta seniculus 
122,species,"Alouatta ululata Elliot, 1912 ",22,0,Alouatta ululata Elliot,, 1912 ,Alouatta Lacépède
123,subspecies,"Alouatta belzebul ululata Elliot, 1912 ",24,1,Alouatta belzebul ululata Elliot,, 1912 ,Alouatta Lacépède
124,subfamily,"Atelinae Gray, 1825 ",18,0,Atelinae Gray,, 1825 ,Atelidae Gray
125,genus,"Ateles É. Geoffroy Saint-Hilaire, 1806 ",20,0,Ateles É. Geoffroy Saint-Hilaire,, 1806 ,Atelinae Gray
126,genus,"Ameranthropoides Montandon, 1929 ",22,1,Ameranthropoides Montandon,, 1929 ,Atelinae Gray
127,genus,"Montaneia Ameghino, 1911 ",22,1,Montaneia Ameghino,, 1911 ,Atelinae Gray
128,genus,"Paniscus Rafinesque, 1815 ",22,1,Paniscus Rafinesque,, 1815 ,Atelinae Gray
129,genus,"Sapajou Lacépède, 1799 ",22,1,Sapajou Lacépède,, 1799 ,Atelinae Gray
130,species,"Ateles belzebuth É. Geoffroy Saint-Hilaire, 1806 ",22,0,Ateles belzebuth É. Geoffroy Saint-Hilaire,, 1806 ,Ateles É. Geoffroy Saint-Hilaire
131,species,"Ateles bartlettii Gray, 1867 ",24,1,Ateles bartlettii Gray,, 1867 ,Ateles É. Geoffroy Saint-Hilaire
132,species,"Ateles braccatus Pelzeln, 1883 ",24,1,Ateles braccatus Pelzeln,, 1883 ,Ateles É. Geoffroy Saint-Hilaire
133,species,"Ateles chuva Schlegel, 1876 ",24,1,Ateles chuva Schlegel,, 1876 ,Ateles É. Geoffroy Saint-Hilaire
134,species,"Ateles fuliginosus Kuhl, 1820 ",24,1,Ateles fuliginosus Kuhl,, 1820 ,Ateles É. Geoffroy Saint-Hilaire
135,species,"Ateles variegatus Wagner, 1840 ",24,1,Ateles variegatus Wagner,, 1840 ,Ateles É. Geoffroy Saint-Hilaire
136,species,"Cebus brissonii Fischer, 1829 ",24,1,Cebus brissonii Fischer,, 1829 ,Ateles É. Geoffroy Saint-Hilaire
137,species,"Ateles chamek (Humboldt, 1812) ",22,0,Ateles chamek ,Humboldt,1812,Ateles É. Geoffroy Saint-Hilaire
138,subspecies,"Ateles ater peruvianus Lönnberg, 1940 ",24,1,Ateles ater peruvianus Lönnberg,, 1940 ,Ateles É. Geoffroy Saint-Hilaire
139,species,"Ateles longimembris J. A. Allen, 1914 ",24,1,Ateles longimembris J. A. Allen,, 1914 ,Ateles É. Geoffroy Saint-Hilaire
140,species,"Simia chamek Humboldt, 1812 ",24,1,Simia chamek Humboldt,, 1812 ,Ateles É. Geoffroy Saint-Hilaire
141,species,"Ateles fusciceps Gray, 1866 ",22,0,Ateles fusciceps Gray,, 1866 ,Ateles É. Geoffroy Saint-Hilaire
142,subspecies,"Ateles fusciceps fusciceps Gray, 1866 ",24,0,Ateles fusciceps fusciceps Gray,, 1866 ,Ateles fusciceps Gray
143,subspecies,"Ateles fusciceps rufiventris Sclater, 1872 ",24,0,Ateles fusciceps rufiventris Sclater,, 1872 ,Ateles fusciceps Gray
144,species,"Ateles dariensis Goldman, 1915 ",26,1,Ateles dariensis Goldman,, 1915 ,Ateles fusciceps Gray
145,species,"Ateles robustus Allen, 1914 ",26,1,Ateles robustus Allen,, 1914 ,Ateles fusciceps Gray
146,species,"Ateles geoffroyi Kuhl, 1820 ",22,0,Ateles geoffroyi Kuhl,, 1820 ,Ateles É. Geoffroy Saint-Hilaire
147,subspecies,"Ateles geoffroyi azuerensis (Bole, 1937) ",24,0,Ateles geoffroyi azuerensis ,Bole,1937,Ateles geoffroyi Kuhl
148,subspecies,"Ateles geoffroyi frontatus (Gray, 1842) ",24,0,Ateles geoffroyi frontatus ,Gray,1842,Ateles geoffroyi Kuhl
149,subspecies,"Ateles geoffroyi geoffroyi Kuhl, 1820 ",24,0,Ateles geoffroyi geoffroyi Kuhl,, 1820 ,Ateles geoffroyi Kuhl
150,subspecies,"Ateles belzebuth trianguligera Weinland, 1862 ",26,1,Ateles belzebuth trianguligera Weinland,, 1862 ,Ateles geoffroyi Kuhl
151,species,"Ateles melanochir Desmarest, 1820 ",26,1,Ateles melanochir Desmarest,, 1820 ,Ateles geoffroyi Kuhl
152,subspecies,"Ateles geoffroyi grisescens Gray, 1866 ",24,0,Ateles geoffroyi grisescens Gray,, 1866 ,Ateles geoffroyi Kuhl
153,species,"Ateles cucullatus Gray, 1866 ",26,1,Ateles cucullatus Gray,, 1866 ,Ateles geoffroyi Kuhl
154,subspecies,"Ateles geoffroyi ornatus (Gray, 1870) ",24,0,Ateles geoffroyi ornatus ,Gray,1870,Ateles geoffroyi Kuhl
155,subspecies,"Ateles geoffroyi panamensis Kellogg & Goldman, 1944 ",26,1,Ateles geoffroyi panamensis Kellogg & Goldman,, 1944 ,Ateles geoffroyi Kuhl
156,subspecies,"Ateles geoffroyi vellerosus Gray, 1866 ",24,0,Ateles geoffroyi vellerosus Gray,, 1866 ,Ateles geoffroyi Kuhl
157,subspecies,"Ateles geoffroyi yucatanensis Kellogg & Goldman, 1944 ",26,1,Ateles geoffroyi yucatanensis Kellogg & Goldman,, 1944 ,Ateles geoffroyi Kuhl
158,species,"Ateles neglectus Reinhardt, 1873 ",26,1,Ateles neglectus Reinhardt,, 1873 ,Ateles geoffroyi Kuhl
159,species,"Ateles pan Schlegel, 1876 ",26,1,Ateles pan Schlegel,, 1876 ,Ateles geoffroyi Kuhl
160,species,"Ateles tricolor Hollister, 1914 ",26,1,Ateles tricolor Hollister,, 1914 ,Ateles geoffroyi Kuhl
161,species,"Ateles hybridus I. Geoffroy Saint-Hilaire, 1829 ",22,0,Ateles hybridus I. Geoffroy Saint-Hilaire,, 1829 ,Ateles É. Geoffroy Saint-Hilaire
162,species,"Ameranthropoides loysi Montandon, 1929 ",24,1,Ameranthropoides loysi Montandon,, 1929 ,Ateles É. Geoffroy Saint-Hilaire
163,species,"Ateles albifrons Gray, 1870 ",24,1,Ateles albifrons Gray,, 1870 ,Ateles É. Geoffroy Saint-Hilaire
164,subspecies,"Ateles hybridus brunneus Gray, 1872 ",24,1,Ateles hybridus brunneus Gray,, 1872 ,Ateles É. Geoffroy Saint-Hilaire
165,subspecies,"Ateles hybridus hybridus I. Geoffroy Saint-Hilaire, 1829 ",24,1,Ateles hybridus hybridus I. Geoffroy Saint-Hilaire,, 1829 ,Ateles É. Geoffroy Saint-Hilaire
166,species,"Ateles marginatus É. Geoffroy Saint-Hilaire, 1809 ",22,0,Ateles marginatus É. Geoffroy Saint-Hilaire,, 1809 ,Ateles É. Geoffroy Saint-Hilaire
167,species,"Ateles frontalis Bennett, 1831 ",24,1,Ateles frontalis Bennett,, 1831 ,Ateles É. Geoffroy Saint-Hilaire
168,species,"Ateles paniscus (Linnaeus, 1758) ",22,0,Ateles paniscus ,Linnaeus,1758,Ateles É. Geoffroy Saint-Hilaire
169,species,"Ateles ater F. Cuvier, 1823 ",24,1,Ateles ater F. Cuvier,, 1823 ,Ateles É. Geoffroy Saint-Hilaire
170,species,"Ateles pentadactylus É. Geoffroy Saint-Hilaire, 1806 ",24,1,Ateles pentadactylus É. Geoffroy Saint-Hilaire,, 1806 ,Ateles É. Geoffroy Saint-Hilaire
171,species,"Ateles subpentadactylus Desmarest, 1820 ",24,1,Ateles subpentadactylus Desmarest,, 1820 ,Ateles É. Geoffroy Saint-Hilaire
172,subspecies,"Cebus paniscus cayennensis Fischer, 1829 ",24,1,Cebus paniscus cayennensis Fischer,, 1829 ,Ateles É. Geoffroy Saint-Hilaire
173,subspecies,"Cebus paniscus surinamensis Fischer, 1829 ",24,1,Cebus paniscus surinamensis Fischer,, 1829 ,Ateles É. Geoffroy Saint-Hilaire
174,genus,"Brachyteles Spix, 1823 ",20,0,Brachyteles Spix,, 1823 ,Atelinae Gray
175,genus,"Eriodes I. Geoffroy Saint-Hilaire, 1829 ",22,1,Eriodes I. Geoffroy Saint-Hilaire,, 1829 ,Atelinae Gray
176,species,"Brachyteles arachnoides (É. Geoffroy Saint-Hilaire, 1806) ",22,0,Brachyteles arachnoides ,É. Geoffroy Saint-Hilaire,1806,Brachyteles Spix
177,species,"Ateles eriodes Brehm, 1876 ",24,1,Ateles eriodes Brehm,, 1876 ,Brachyteles Spix
178,species,"Brachyteles macrotarsus Spix, 1823 ",24,1,Brachyteles macrotarsus Spix,, 1823 ,Brachyteles Spix
179,species,"Eriodes tuberifer I. Geoffroy Saint-Hilaire, 1829 ",24,1,Eriodes tuberifer I. Geoffroy Saint-Hilaire,, 1829 ,Brachyteles Spix
180,species,"Brachyteles hypoxanthus (Kuhl, 1820) ",22,0,Brachyteles hypoxanthus ,Kuhl,1820,Brachyteles Spix
181,species,"Brachyteles hemidactylus (I. Geoffroy Saint-Hilaire, 1829) ",24,1,Brachyteles hemidactylus ,I. Geoffroy Saint-Hilaire,1829,Brachyteles Spix
182,genus,"Lagothrix É. Geoffroy Saint-Hilaire in Humboldt, 1812 ",20,0,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt,, 1812 ,Atelinae Gray
183,genus,"Gastrimargus Spix, 1823 ",22,1,Gastrimargus Spix,, 1823 ,Atelinae Gray
184,genus,"Oreonax Thomas, 1927 ",22,1,Oreonax Thomas,, 1927 ,Atelinae Gray
185,species,"Lagothrix flavicauda (Humboldt, 1812) ",22,0,Lagothrix flavicauda ,Humboldt,1812,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
186,species,"Lagothrix hendeei Thomas, 1927 ",24,1,Lagothrix hendeei Thomas,, 1927 ,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
187,species,"Oreonax flavicauda (Humboldt, 1812) ",24,1,Oreonax flavicauda ,Humboldt,1812,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
188,species,"Simia flavicauda Humboldt, 1812 ",24,1,Simia flavicauda Humboldt,, 1812 ,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
189,species,"Lagothrix lagothricha (Humboldt, 1812) ",22,0,Lagothrix lagothricha ,Humboldt,1812,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
190,species,"Lagothrix caparro Lesson, 1840 ",24,1,Lagothrix caparro Lesson,, 1840 ,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
191,species,"Lagothrix caroarensis Lönnberg, 1931 ",24,1,Lagothrix caroarensis Lönnberg,, 1931 ,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
192,species,"Lagothrix geoffroyi Pucheran, 1857 ",24,1,Lagothrix geoffroyi Pucheran,, 1857 ,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
193,species,"Lagothrix humboldtii É. Geoffroy Saint-Hilaire, 1812 ",24,1,Lagothrix humboldtii É. Geoffroy Saint-Hilaire,, 1812 ,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
194,species,"Lagothrix lagotricha (Humboldt, 1812) ",24,1,Lagothrix lagotricha ,Humboldt,1812,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
195,species,"Macaco barrigo Natterer, 1883 ",24,1,Macaco barrigo Natterer,, 1883 ,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
196,species,"Simia lagothricha Humboldt, 1812 ",24,1,Simia lagothricha Humboldt,, 1812 ,Lagothrix É. Geoffroy Saint-Hilaire in Humboldt
197,subspecies,"Lagothrix lagothricha cana (É. Geoffroy Saint-Hilaire in Humboldt, 1812) ",24,0,Lagothrix lagothricha cana ,É. Geoffroy Saint-Hilaire in Humboldt,1812,Lagothrix lagothricha 
198,species,"Gastrimargus olivaceus Spix, 1823 ",26,1,Gastrimargus olivaceus Spix,, 1823 ,Lagothrix lagothricha 
199,subspecies,"Lagothrix cana cana (É. Geoffroy Saint-Hilaire in Humboldt, 1812) ",26,1,Lagothrix cana cana ,É. Geoffroy Saint-Hilaire in Humboldt,1812,Lagothrix lagothricha 
200,species,"Lagothrix cana (É. Geoffroy Saint-Hilaire in Humboldt, 1812) ",26,1,Lagothrix cana ,É. Geoffroy Saint-Hilaire in Humboldt,1812,Lagothrix lagothricha 
201,species,"Lagothrix puruensis Lönnberg, 1940 ",26,1,Lagothrix puruensis Lönnberg,, 1940 ,Lagothrix lagothricha 
